"1";"Regional BSA";"PRFN-DF";""
"2";"Escritório RBO";"PFN-ACRE";""
"3";"Escritório MCO";"PGN-ALAGOAS";""
"4";"Escritório MCA";"PFN-AMAPA";""
"5";"Escritório MNS";"PFN-AMAZONAS";""
"6";"Regional SDR";"PFN-BAHIA";""
"7";" Regional FLA";"PFN-CEARA";""
"8";"Escritório VTA";"PFN-ESPIRITO SANTO";""
"9";"Escritório GNA";"PFN-GOIAS";""
"10";"Escritório SLS";"PFN-MARANHAO";""
"11";"Escritório CBA";"PFN-MATO GROSSO";""
"12";"Escritório CPE";"PFN-MATO GROSSO DO S";"\
"
"13";"Regional BHE";"PFN-MINAS GERAIS";""
"14";"Regional BLM";"PFN-PARA";""
"15";"Escritório JPA";"PFN-PARAIBA";""
"16";"Regional CTA";"PFN-PARANA";""
"17";"Escritório TSA";"PFN-PIAUI";""
"18";"Escritório NTL";"PFN-RIO GRANDE DO NO";""
"19";"Regional PAE";"PFN-RIO GRANDE DO S";""
"20";"Escritório PVO";"PFN-RONDONIA";""
"21";"Escritório BVA";"PFN-RORAIMA";""
"22";"Regional FNS";"PFN-SANTA CATARINA";""
"23";"Escritório AJU";"PFN-SERGIPE";""
"24";"Escritório PMJ";"PFN-TOCANTINS";""
"25";"PGFN";"PGFN";""
"26";"Regional RCE";"PRFN-PERNAMBUCO";""
"27";"Regional RJO";"PRFN-RIO DE JANEIRO";""
"28";"Regional SPO";"PRFN-SAO PAULO";""
"29";"Regional SPO";"PSFN-BAURU";""
"30";"Escritório GNA";"PSFN-ANAPO";"\
\
"
"31";"Regional RJO";"PSFN-ANGRA";""
"32";"Regional SPO";"PSFN-ARACATUBA";""
"33";"Regional RCE";"PSFN-ARAPIRACA";""
"34";"Regional SPO";"PSFN-ARARA";""
"35";"Regional PAE";"PSFN-BAGE";""
"36";"Regional SDR";"PSFN-BARRS";""
"37";"Regional PAE";"PSFN-BENTO";""
"38";"Regional FNS";"PSFN-BLUME";""
"39";"Regional RJO";"PSFN-C.GOY";""
"40";"Escritório JPA";"PSFN-C.GRD";""
"41";"Regional RJO";"PSFN-C.ITA";""
"42";"Regional RJO";"PSFN-CAB.F";""
"43";"Regional SPO";"PSFN-CAMPI";""
"44";"Regional RCE";"PSFN-CARUA";""
"45";"Regional CTA";"PSFN-CASCV";""
"46";"Regional PAE";"PSFN-CAXIA";""
"47";"Regional FNS";"PSFN-CHAPC";""
"48";"Regional PAE";"PSFN-CNOAS";""
"49";"Regional FNS";"PSFN-CRICI";""
"50";"Regional BHE";"PSFN-DIVIN";""
"51";"Escritório CPE";"PSFN-DOURA";""
"52";"Regional RJO";"PSFN-DQCAX";""
"53";"Regional CTA";"PSFN-F.IGU";""
"54";"Regional SDR";"PSFN-FEIRA";""
"55";"Regional SPO";"PSFN-FRANC";""
"56";"Regional BHE";"PSFN-GOVAL";""
"57";"Regional SPO";"PSFN-GRS";""
"58";"Regional CTA";"PSFN-GUAPU";""
"59";"Regional SDR";"PSFN-ILHS";""
"60";"Escritório SLS";"PSFN-IMPTZ";""
"61";"Regional BHE";"PSFN-IPATG";""
"62";"Regional RJO";"PSFN-ITABO";""
"63";"regional FNS";"PSFN-ITAJA";""
"64";"Regional BHE";"PSFN-JFORA";""
"65";"Regional FNS";"PSFN-JOACA";""
"66";"Regional FNS";"PSFN-JOINV";""
"67";"Regional FLA";"PSFN-JUANO";""
"68";"Regional SPO";"PSFN-JUNDI";""
"69";"Regional FNS";"PSFN-LAGES";""
"70";"REGIONAL PAE";"PSFN-LAJEA";""
"71";"Regional CTA";"PSFN-LONDR";""
"72";"Regional BHE";"PSFN-M.CLA";""
"73";"Regional RJO";"PSFN-MACAE";""
"74";"Regional BLM";"PSFN-MARAB";""
"75";"Regional SPO";"PSFN-MOGI";""
"76";"Escritório NTL";"PSFN-MOSSORO";""
"77";"Regional SPO";"PSFN-MRLIA";""
"78";"Regional CTA";"PSFN-MRNGA";""
"79";"Regional RJO";"PSFN-N.FRI";""
