"20";"Windows XP Professional";"WXP_PRO";"2.5.1.1.256";"S"
"21";"Windows 95 SP1";"W95_SP1";"1.4.0.B";"S"
"22";"Ubuntu 9.04 Jaunty Jackalope";"Ubuntu-9.04";"Ubuntu - 9.04";"N"
"27";"Debian 5.0.1 Lenny";"Debian_501";"Debian - 5.0.1";"N"
"28";"Windows 7 Professional";"W7-PRO";"2.6.1.1.256";"S"
"29";"Ubuntu 8.10 Intrepid Ibex";"Ubuntu-8.10";"Ubuntu - 8.10";"N"
"31";"Windows Vista";"WVista";"2.6.0.1.256";"S"
"32";"Windows 2000 Professional";"W2K_PRO";"2.5.0.1.0";"S"
"33";"Debian 5.0.3 Lenny";"Debian_503";"Debian - 5.0.3";"N"
"34";"Ubuntu 9.10 Karmic Koala";"Ubuntu_910";"Ubuntu - 9.10";"N"
"35";"Windows 2003 Server";"W2K3";"2.5.2.2.274";"S"
"36";"Windows XP Home Edition";"WXP_HE";"2.5.1.1.0";"S"
"37";"Windows 2000 (SP4)";"W2K-SP4";"2.5.0.Service Pack 4";"S"
"38";"Ubuntu 10.04 Lucid";"Ubuntu-10.04";"Ubuntu - 10.04";"N"
"39";"Windows 7 Home Basic";"W7-HB";"2.6.1";"S"
"40";"Debian 5.0.5 Lenny";"Debian_505";"Debian - 5.0.5";"N"
"41";"Windows XP SP3";"WXP_SP3";"2.5.1.Service Pack 3";"S"
"42";"Windows 7 Enterprise";"W7-ENT";"2.6.1.1.768";"S"
"43";"Windows 7 (64Bits - Enterprise)";"W7-EN64";"2.6.1.1.256.64";"S"
"44";"Windows 7 (64Bits - Home Premium)";"W7-HP64";"2.6.1.1.768.64";"S"
"45";"Windows 7 (32Bits - Enterprise)";"W7-EN32";"2.6.1.1.256.32";"S"
"46";"Windows XP Professional SP3";"WXP-PRO-SP3";"2.5.1.1.256.32";"S"
"47";"Ubuntu 11.10";"UBT11.10";"Ubuntu - 11.10";"S"
